id_pregunta,pregunta,tema,subtema,doc_esperado,fragmento_esperado,tipo_pregunta,dificultad
Q-001,¿Qué es el Instrumento de Gestión Ambiental Correctivo (IGAC) y a qué actividades aplica?,Gestión ambiental,Minería y ambiente / IGAC,DOC-001,Disposiciones Complementarias para el IGAC para la Formalización de Actividades de Pequeña Minería y Minería Artesanal,conceptual,media
Q-002,¿Cuáles son los principios de la Ley General del Ambiente en Perú?,Gestión ambiental,SNGA / Gestión ambiental / Política ambiental,DOC-004,Ley N.º 28611 - principios de la gestión ambiental,conceptual,media
Q-003,¿Qué obligaciones ambientales establece la Ley General del Ambiente para las actividades productivas?,Gestión ambiental,SNGA / Política ambiental,DOC-004,Ley N.º 28611 - obligaciones ambientales,aplicada,media
Q-004,¿Qué es el Sistema Nacional de Gestión Ambiental (SNGA) y cuáles son sus componentes?,Gestión ambiental,SNGA / Institucionalidad ambiental / MINAM,DOC-023,Ley N.º 28245 / Ley Marco del Sistema Nacional de Gestión Ambiental,conceptual,media
Q-005,¿Cómo regula el DS 005-2026-MINAM la gestión de sustancias químicas peligrosas en Perú?,Gestión ambiental,Sustancias químicas / SGA / RENASQ,DOC-010,Reglamento del Decreto Legislativo N.º 1570 - sustancias químicas,aplicada,alta
Q-006,¿Cuáles son los ejes estratégicos de la gestión ambiental según el informe de la Comisión Multisectorial?,Gestión ambiental,SNGA / Gobernanza ambiental / Política ambiental,DOC-021,Ejes estratégicos de la gestión ambiental - Comisión Multisectorial RS 189-2012-PCM,conceptual,media
Q-007,¿Cuáles son los Estándares de Calidad Ambiental (ECA) para aire vigentes en Perú según el DS 003-2017-MINAM?,Calidad ambiental,ECA / Calidad del aire / Contaminantes atmosféricos,DOC-016,DS 003-2017-MINAM - ECA para Aire y Disposiciones Complementarias,factual,media
Q-008,¿Qué valores establece el DS 003-2008-MINAM para los estándares de calidad ambiental de aire?,Calidad ambiental,ECA / Calidad del aire / PM2.5 / Dióxido de azufre,DOC-011,DS 003-2008-MINAM - ECA para Aire - PM2.5 y SO2,factual,media
Q-009,"¿Qué establece el DS 011-2023-MINAM sobre los ECA de aire para cadmio, arsénico y cromo en PM10?",Calidad ambiental,ECA / Calidad del aire / PM10 / Metales y metaloides,DOC-007,DS 011-2023-MINAM - ECA cadmio arsénico cromo PM10,factual,alta
Q-010,¿Qué medidas establece el DS 009-2015-MINAM para mejorar la calidad del aire a nivel nacional?,Calidad ambiental,Calidad del aire / Diésel bajo azufre / Emisiones vehiculares,DOC-012,DS 009-2015-MINAM - medidas mejora calidad aire - diésel Euro IV,aplicada,media
